dataset,insert_vps,query_qps,recall,delete_ms,live_recall,viol,consolidate_ms,append_vps
bigann10M,554012.0,2016298.0,0.9568,1.5,0.957,0,3222.4,258480.0
deep10M,649479.0,2317802.0,0.949,1.7,0.9495,0,2809.4,297249.0
gist,171049.0,272895.0,0.8473,1.0,0.8469,0,917.0,160548.0
openai,50678.0,139188.0,0.8937,0.9,0.8937,0,13959.0,35274.0
